Subject #,Experiment,Group,Condition,Trial,DZ Radius,Sensitivity,Curve Shape,Target Distance,Target Diameter,Click Hit,Click Distance,Overshot,Most Further Hand Position,Click Time
0,d,A,1,19,20,21,1,3.00,1.00,1,-1.00,0,46.00,-63604536460900
0,d,A,1,20,20,21,1,9.00,1.00,1,-1.00,1,60.00,-63604536462180
0,d,A,1,21,20,21,1,15.00,1.00,1,-1.00,1,80.00,-63604536464460
0,d,A,1,22,20,21,1,3.00,1.00,1,-1.00,0,46.00,-63604536469313
0,d,A,1,23,20,21,1,9.00,1.00,1,-1.00,1,106.00,-63604536470527
0,d,A,1,24,20,21,1,3.00,1.00,1,-1.00,0,48.00,-63604536472300
0,d,A,1,25,20,21,1,15.00,1.00,1,-1.00,1,101.00,-63604536474433
0,d,A,1,26,20,21,1,3.00,1.00,1,-1.00,1,51.00,-63604536476633
0,d,A,1,27,20,21,1,15.00,1.00,1,-1.00,1,100.00,-63604536478286
0,d,A,1,28,20,21,1,9.00,1.00,1,-1.00,0,70.00,-63604536480727
0,d,A,1,29,20,21,1,15.00,1.00,1,-1.00,1,94.00,-63604536481993
0,d,B,2,0,30,21,1,3.00,1.00,1,-1.00,1,82.00,-63604536500487
0,d,B,2,1,30,21,1,9.00,1.00,1,-1.00,0,101.00,-63604536501833
0,d,B,2,2,30,21,1,15.00,1.00,1,-1.00,0,99.00,-63604536502980
0,d,B,2,3,30,21,1,3.00,1.00,1,-1.00,0,53.00,-63604536504993
0,d,B,2,4,30,21,1,9.00,1.00,1,-1.00,1,87.00,-63604536506287
0,d,B,2,5,30,21,1,15.00,1.00,1,-1.00,0,99.00,-63604536508807
0,d,B,2,6,30,21,1,15.00,1.00,1,-1.00,1,101.00,-63604536511127
0,d,B,2,7,30,21,1,3.00,1.00,1,-1.00,0,60.00,-63604536513473
0,d,B,2,8,30,21,1,9.00,1.00,1,-1.00,0,77.00,-63604536514513
0,d,B,2,9,30,21,1,9.00,1.00,1,-1.00,1,83.00,-63604536515834
0,d,B,2,10,30,21,1,15.00,1.00,1,-1.00,0,103.00,-63604536518353
0,d,B,2,11,30,21,1,3.00,1.00,1,-1.00,1,65.00,-63604536520367
0,d,B,2,12,30,21,1,15.00,1.00,1,-1.00,1,133.00,-63604536522753
0,d,B,2,13,30,21,1,3.00,1.00,1,-1.00,1,48.00,-63604536526873
0,d,B,2,14,30,21,1,9.00,1.00,1,-1.00,0,75.00,-63604536530593
0,d,B,2,15,30,21,1,9.00,1.00,1,-1.00,0,91.00,-63604536532047
0,d,B,2,16,30,21,1,15.00,1.00,1,-1.00,1,103.00,-63604536533274
0,d,B,2,17,30,21,1,3.00,1.00,1,-1.00,1,60.00,-63604536536327
0,d,B,2,18,30,21,1,9.00,1.00,1,-1.00,0,76.00,-63604536539553
0,d,B,2,19,30,21,1,3.00,1.00,1,-1.00,0,61.00,-63604536540926
0,d,B,2,20,30,21,1,9.00,1.00,1,-1.00,1,89.00,-63604536542020
0,d,B,2,21,30,21,1,15.00,1.00,1,-1.00,0,87.00,-63604536545540
0,d,B,2,22,30,21,1,3.00,1.00,1,-1.00,0,57.00,-63604536547207
0,d,B,2,23,30,21,1,9.00,1.00,1,-1.00,0,88.00,-63604536549860
0,d,B,2,24,30,21,1,3.00,1.00,1,-1.00,0,54.00,-63604536551181
0,d,B,2,25,30,21,1,15.00,1.00,1,-1.00,0,88.00,-63604536552394
0,d,B,2,26,30,21,1,3.00,1.00,1,-1.00,0,48.00,-63604536554500
0,d,B,2,27,30,21,1,15.00,1.00,1,-1.00,0,87.00,-63604536555874
0,d,B,2,28,30,21,1,9.00,1.00,1,-1.00,1,93.00,-63604536558554
0,d,B,2,29,30,21,1,15.00,1.00,1,-1.00,0,90.00,-63604536560780
0,d,C,3,0,40,21,1,3.00,1.00,1,-1.00,1,67.00,-63604536571461
0,d,C,3,1,40,21,1,9.00,1.00,1,-1.00,1,86.00,-63604536573020
0,d,C,3,2,40,21,1,15.00,1.00,1,-1.00,1,108.00,-63604536575327
0,d,C,3,3,40,21,1,3.00,1.00,1,-1.00,0,66.00,-63604536577927
0,d,C,3,4,40,21,1,9.00,1.00,1,-1.00,1,85.00,-63604536579394
0,d,C,3,5,40,21,1,15.00,1.00,1,-1.00,0,102.00,-63604536582007
